STATE,mid_term,election_year,CYCLE_YEAR,legislature,court,independent_commission,other_commission,SEATS,midcycle_change,PASSED,START_DATE,END_DATE,DRAWN_BY_FINAL,DRAWN_BY_ORIGINAL,PARTY_DRAWING,PARTY_CONTROL,GOVERNOR,COURT_ACTION,PLAN_STATUS,governor_drawing_split,INSTITUTION_NOTE,UPPER_HOUSE,LOWER_HOUSE,link_SHPsource,link_GeoJSON,link_ZIP,link_PDF
AK,1,2002,2000,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,0,2004,2000,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,1,2006,2000,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,0,2008,2000,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,1,2010,2000,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,0,2012,2010,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,1,2014,2010,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,0,2016,2010,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,1,2018,2010,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,0,2020,2010,0,0,0,0,1,0,,,,n/a,n/a,n/a,n/a,n/a,,n/a,0,,n/a,n/a,,,,
AK,1,2022,2020,0,0,0,0,1,0,,,,,n/a,,n/a,n/a,,Active,0,,n/a,n/a,,,,
AL,1,2002,2000,1,0,0,0,7,0,1/31/2002,3/4/2002,11/21/2011,Legislature,Legislature,Democratic,Democratic,Democratic,,Superseded,0,Vetoproof,"24 D, 11 R","67 D, 38 R",,al_2000_congress_2002-03-04_2011-11-21.json,al_2000_congress_2002-03-04_2011-11-21.zip,al_2000_congress_2002-03-04_2011-11-21.pdf
AL,0,2004,2000,1,0,0,0,7,0,1/31/2002,3/4/2002,11/21/2011,Legislature,Legislature,Democratic,Democratic,Democratic,,Superseded,0,Vetoproof,"24 D, 11 R","67 D, 38 R",,al_2000_congress_2002-03-04_2011-11-21.json,al_2000_congress_2002-03-04_2011-11-21.zip,al_2000_congress_2002-03-04_2011-11-21.pdf
AL,1,2006,2000,1,0,0,0,7,0,1/31/2002,3/4/2002,11/21/2011,Legislature,Legislature,Democratic,Democratic,Democratic,,Superseded,0,Vetoproof,"24 D, 11 R","67 D, 38 R",,al_2000_congress_2002-03-04_2011-11-21.json,al_2000_congress_2002-03-04_2011-11-21.zip,al_2000_congress_2002-03-04_2011-11-21.pdf
