state_po,year,legislature,court,independent_commission,other_commission,mid_term,CYCLE_YEAR,SEATS
AK,2002,0,0,0,0,1,2000,1
AK,2004,0,0,0,0,0,2000,1
AK,2006,0,0,0,0,1,2000,1
AK,2008,0,0,0,0,0,2000,1
AK,2010,0,0,0,0,1,2000,1
AK,2012,0,0,0,0,0,2010,1
AK,2014,0,0,0,0,1,2010,1
AK,2016,0,0,0,0,0,2010,1
AK,2018,0,0,0,0,1,2010,1
AK,2020,0,0,0,0,0,2010,1
AK,2022,0,0,0,0,1,2020,1
AL,2002,1,0,0,0,1,2000,7
AL,2004,1,0,0,0,0,2000,7
AL,2006,1,0,0,0,1,2000,7
AL,2008,1,0,0,0,0,2000,7
AL,2010,1,0,0,0,1,2000,7
AL,2012,1,0,0,0,0,2010,7
AL,2014,1,0,0,0,1,2010,7
AL,2016,1,0,0,0,0,2010,7
AL,2018,1,0,0,0,1,2010,7
AL,2020,1,0,0,0,0,2010,7
AL,2022,1,0,0,0,1,2020,6
AR,2002,1,0,0,0,1,2000,4
AR,2004,1,0,0,0,0,2000,4
AR,2006,1,0,0,0,1,2000,4
AR,2008,1,0,0,0,0,2000,4
AR,2010,1,0,0,0,1,2000,4
AR,2012,1,0,0,0,0,2010,4
AR,2014,1,0,0,0,1,2010,4
AR,2016,1,0,0,0,0,2010,4
AR,2018,1,0,0,0,1,2010,4
AR,2020,1,0,0,0,0,2010,4
AR,2022,1,0,0,0,1,2020,4
AZ,2002,0,0,1,0,1,2000,8
AZ,2004,0,0,1,0,0,2000,8
AZ,2006,0,0,1,0,1,2000,8
AZ,2008,0,0,1,0,0,2000,8
AZ,2010,0,0,1,0,1,2000,8
AZ,2012,0,0,1,0,0,2010,9
AZ,2014,0,0,1,0,1,2010,9
AZ,2016,0,0,1,0,0,2010,9
AZ,2018,0,0,1,0,1,2010,9
AZ,2020,0,0,1,0,0,2010,9
AZ,2022,0,0,1,0,1,2020,9
CA,2002,1,0,0,0,1,2000,53
CA,2004,1,0,0,0,0,2000,53
CA,2006,1,0,0,0,1,2000,53
CA,2008,1,0,0,0,0,2000,53
CA,2010,1,0,0,0,1,2000,53
CA,2012,0,0,1,0,0,2010,53
CA,2014,0,0,1,0,1,2010,53
CA,2016,0,0,1,0,0,2010,53
CA,2018,0,0,1,0,1,2010,53
CA,2020,0,0,1,0,0,2010,53
CA,2022,0,0,1,0,1,2020,52
CO,2002,0,1,0,0,1,2000,7
CO,2004,0,1,0,0,0,2000,7
CO,2006,0,1,0,0,1,2000,7
CO,2008,0,1,0,0,0,2000,7
CO,2010,0,1,0,0,1,2000,7
CO,2012,0,1,0,0,0,2010,7
CO,2014,0,1,0,0,1,2010,7
CO,2016,0,1,0,0,0,2010,7
CO,2018,0,1,0,0,1,2010,7
CO,2020,0,1,0,0,0,2010,7
CO,2022,0,0,1,0,1,2020,8
CT,2002,0,0,0,1,1,2000,5
CT,2004,0,0,0,1,0,2000,5
CT,2006,0,0,0,1,1,2000,5
CT,2008,0,0,0,1,0,2000,5
CT,2010,0,0,0,1,1,2000,5
CT,2012,0,1,0,0,0,2010,5
CT,2014,0,1,0,0,1,2010,5
CT,2016,0,1,0,0,0,2010,5
CT,2018,0,1,0,0,1,2010,5
CT,2020,0,1,0,0,0,2010,5
CT,2022,0,1,0,0,1,2020,5
DE,2002,0,0,0,0,1,2000,1
DE,2004,0,0,0,0,0,2000,1
DE,2006,0,0,0,0,1,2000,1
DE,2008,0,0,0,0,0,2000,1
DE,2010,0,0,0,0,1,2000,1
DE,2012,0,0,0,0,0,2010,1
DE,2014,0,0,0,0,1,2010,1
DE,2016,0,0,0,0,0,2010,1
DE,2018,0,0,0,0,1,2010,1
DE,2020,0,0,0,0,0,2010,1
DE,2022,0,0,0,0,1,2020,1
FL,2002,1,0,0,0,1,2000,25
FL,2004,1,0,0,0,0,2000,25
FL,2006,1,0,0,0,1,2000,25
FL,2008,1,0,0,0,0,2000,25
FL,2010,1,0,0,0,1,2000,25
FL,2012,1,0,0,0,0,2010,27
FL,2014,1,0,0,0,1,2010,27
FL,2016,0,1,0,0,0,2010,27
FL,2018,0,1,0,0,1,2010,27
FL,2020,0,1,0,0,0,2010,27
FL,2022,1,0,0,0,1,2020,28
GA,2002,1,0,0,0,1,2000,13
GA,2004,1,0,0,0,0,2000,13
GA,2006,1,0,0,0,1,2000,13
GA,2008,1,0,0,0,0,2000,13
GA,2010,1,0,0,0,1,2000,13
GA,2012,1,0,0,0,0,2010,14
GA,2014,1,0,0,0,1,2010,14
GA,2016,1,0,0,0,0,2010,14
GA,2018,1,0,0,0,1,2010,14
GA,2020,1,0,0,0,0,2010,14
GA,2022,1,0,0,0,1,2020,14
HI,2002,0,0,0,1,1,2000,2
