"year","state_po","district","totalvotes","DEMOCRAT","OTHER","REPUBLICAN","Cycle.Year","Level","Seats","Institution","Institution.Note","Party.Control","Governor","Governor.Role","Upper.House","Upper.House.Role","Lower.House","Lower.House.Role","Court.Action","Passed","Start.Date","End.Date","Plan.Status","Drawn.by","Party.drawing","SHPsource","GeoJSON","ZIP","PDF","Election.Cutoff","Inactive","redistricting_methods","changed","legislature","partisan","independent_commission","court","mid_term","dem_margin"
2002,"AK",0,227725,39357,18683,169685,2000,"Congress",1,"n/a","","n/a","n/a","","n/a","","n/a","","","","2001-12-31","2001-12-31","n/a","n/a","n/a","","","","","2002-11-01",FALSE,1,0,0,0,0,0,1,-57.2304314414315
2002,"AL",1,178687,67507,3078,108102,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-22.7184965890076
2002,"AL",2,187965,55495,3237,129233,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-39.229643816668
2002,"AL",3,181223,87351,2703,91169,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-2.10679659866573
2002,"AL",4,161101,0,21396,139705,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-86.718890633826
2002,"AL",5,195171,143029,3916,48226,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,48.5743271285181
2002,"AL",6,198346,0,20175,178171,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,-89.828380708459
2002,"AL",7,166309,153735,12574,0,2000,"Congress",7,"Legislature","Vetoproof","Democratic","D","","24 D, 11 R","","67 D, 38 R","","","2002-01-31","2002-03-04","2011-11-21","Superseded","Legislature","Democratic","","al_2000_congress_2002-03-04_2011-11-21.json","al_2000_congress_2002-03-04_2011-11-21.zip","al_2000_congress_2002-03-04_2011-11-21.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,92.4393748985323
2002,"AR",1,194058,129701,0,64357,2000,"Congress",4,"Legislature","Vetoproof","Democratic","R","","27 D, 8 R","","70 D, 30 R","","","2001-04-20","2001-04-20","2011-04-14","Superseded","Legislature","Democratic","","ar_2000_congress_2001-04-20_2011-04-14.json","ar_2000_congress_2001-04-20_2011-04-14.zip","ar_2000_congress_2001-04-20_2011-04-14.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,33.6724072184605
2002,"AR",2,153626,142752,10874,0,2000,"Congress",4,"Legislature","Vetoproof","Democratic","R","","27 D, 8 R","","70 D, 30 R","","","2001-04-20","2001-04-20","2011-04-14","Superseded","Legislature","Democratic","","ar_2000_congress_2001-04-20_2011-04-14.json","ar_2000_congress_2001-04-20_2011-04-14.zip","ar_2000_congress_2001-04-20_2011-04-14.pdf","2002-11-01",FALSE,1,0,1,1,0,0,1,92.9217710543788
